species,R1,H1,W1,N5,N3,I2,E1,O1,N4,N6,N2,B1,Z1,W2,Z2,F1,M2,T1,K1,D1,S1,D3,E2,B2,L1,O2,W4,H3,H4,X1,T2
CANINE,S,S,S,S,S,I,S,S,S,S,S,R,S,S,S,R,S,None,None,None,None,None,None,None,None,None,None,None,None,None,None
CANINE,R,R,S,R,R,R,I,R,R,R,R,R,R,S,R,S,R,S,None,None,None,None,None,None,None,None,None,None,None,None,None
FELINE,S,R,S,None,S,S,S,R,S,None,None,S,S,S,R,S,R,S,None,None,S,None,None,S,None,None,None,S,R,None,None
FELINE,R,R,S,S,S,R,S,S,S,S,None,R,S,S,S,None,S,S,None,None,None,None,None,None,None,None,None,None,None,None,None
FELINE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,None,None,None,None,None,None,None,None,None,None,None,None,None
CANINE,S,R,S,N/I,S,S,S,S,S,N/I,N/I,S,S,S,S,S,S,S,None,None,S,None,None,S,None,None,None,S,R,None,None
CANINE,None,None,S,S,None,None,None,R,None,None,None,None,R,S,R,None,None,S,None,None,None,None,None,None,None,None,None,None,None,None,None
CANINE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,None,None,None,None,None,None,None,None,None,None,None,None,None
CANINE,S,S,S,N/I,S,S,S,S,S,None,N/I,S,S,S,S,None,S,S,N/I,S,S,S,S,S,S,None,S,S,S,S,None
CANINE,R,R,S,None,R,R,R,S,R,None,None,S,S,S,S,S,R,R,None,None,R,None,None,S,None,S,None,R,R,S,None
CANINE,S,I,S,S,S,S,I,S,S,None,S,S,S,S,S,None,S,S,S,None,None,None,N/I,None,None,None,S,None,None,None,None
CANINE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,None,None,None,None,None,None,None,None,None,None,None,None,None
FELINE,S,S,S,None,S,S,S,S,S,None,None,S,S,S,S,S,S,S,None,None,S,None,None,S,None,None,None,S,S,None,None
FELINE,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S,S,None,None,None,None,None,None,None,None,None,None,None,None,None
CANINE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,None,None,None,None,None,None,None,None,None,None,None,None,None
CANINE,R,R,S,N/I,S,R,R,R,S,None,N/I,R,R,I,R,None,None,N/I,N/I,R,R,R,S,R,N/I,None,I,S,R,S,None
FELINE,S,S,None,None,None,None,I,S,None,None,None,R,S,None,S,S,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
FELINE,R,R,S,None,R,R,S,R,R,None,None,S,R,I,R,None,S,R,None,S,S,S,S,S,S,None,None,R,R,S,None
FELINE,I,R,None,None,None,None,S,R,None,None,None,S,R,None,R,S,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
FELINE,R,R,S,R,R,R,R,R,R,R,R,R,R,S,S,None,R,S,None,N/I,None,N/I,N/I,N/I,None,None,None,None,None,None,None
FELINE,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,I,S,S,None,None,None,None,None,None,None,None,None,None,None,None,None
FELINE,R,R,S,None,R,R,S,R,R,None,None,R,R,S,R,None,S,R,None,S,S,S,S,S,S,None,None,R,R,S,None
FELINE,None,None,R,S,None,None,None,S,None,None,None,None,I,R,S,None,None,S,S,None,None,None,None,None,None,None,None,None,None,None,None
FELINE,N/I,N/I,S,S,N/I,None,N/I,S,N/I,None,N/I,N/I,S,S,S,S,N/I,S,S,None,None,None,N/I,None,None,None,N/I,None,None,None,None
FELINE,S,R,S,N/I,S,S,S,R,S,None,N/I,S,R,S,R,None,S,S,N/I,S,S,S,S,S,S,None,S,S,R,S,None
CANINE,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,R,S,None,None,None,None,None,None,None,None,None,None,None,None,None,None
FELINE,R,R,None,None,None,None,S,R,None,None,None,S,R,None,R,None,None,None,None,R,None,R,S,S,None,None,None,None,None,None,None
CANINE,R,R,S,R,R,R,I,S,R,R,R,R,S,S,S,None,S,S,None,N/I,None,N/I,N/I,N/I,None,None,None,None,None,None,None
CANINE,S,R,S,S,S,R,S,S,S,S,S,S,S,S,S,None,S,S,None,None,None,None,None,None,None,None,None,None,None,None,None
FELINE,N/I,N/I,N/I,N/I,N/I,None,N/I,N/I,N/I,N/I,N/I,N/I,N/I,N/I,N/I,None,N/I,N/I,None,N/I,N/I,N/I,N/I,N/I,None,None,None,N/I,N/I,None,None
FELINE,S,R,S,None,S,S,S,S,S,None,None,S,S,S,S,S,S,S,None,None,S,None,None,S,None,None,None,S,R,None,None
CANINE,S,R,S,N/I,S,S,R,S,S,None,N/I,R,S,I,S,N/I,S,S,None,I,R,I,S,R,None,None,None,S,R,None,None
FELINE,S,R,S,N/I,S,S,S,S,S,N/I,N/I,S,S,S,S,None,S,S,None,S,S,S,S,S,S,None,None,S,R,S,None
FELINE,N/I,N/I,N/I,None,N/I,None,N/I,N/I,N/I,None,None,N/I,N/I,N/I,N/I,None,N/I,N/I,None,N/I,N/I,N/I,N/I,N/I,None,None,N/I,N/I,N/I,None,None
FELINE,S,R,S,None,S,S,S,S,S,None,None,R,S,I,S,None,R,S,None,S,S,S,S,R,None,None,None,S,R,None,None
CANINE,S,S,S,N/I,S,S,S,S,S,None,N/I,S,S,S,S,None,S,S,N/I,S,S,S,S,S,None,S,S,S,S,None,None
FELINE,R,R,S,N/I,R,R,R,R,R,None,N/I,R,I,I,R,None,S,R,N/I,R,R,R,I,R,S,None,R,R,R,S,None
